y	x	x1	x2	tt	Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Confidence
8340.65197408663	7532	7530	7533	1882.75	102	Spectrogram	1	1884.25	1881.25	0	8000	8340.65197408663
8302.33015924954	4095	4093	4096	1023.5	103	Spectrogram	1	1025	1022	0	8000	8302.33015924954
8302.33015924954	8308	8305	8312	2076.75	104	Spectrogram	1	2078.25	2075.25	0	8000	8302.33015924954
8226.2139388311	4677	4675	4679	1169	105	Spectrogram	1	1170.5	1167.5	0	8000	8226.2139388311
8188.41791900512	9215	9212	9216	2303.5	106	Spectrogram	1	2305	2302	0	8000	8188.41791900512
8120.82216249984	9545	9544	9548	2386	107	Spectrogram	1	2387.5	2384.5	0	8000	8120.82216249984
8068.63370363819	2195	2194	2196	548.5	108	Spectrogram	1	550	547	0	8000	8068.63370363819
8046.37001739801	23	22	25	5.5	109	Spectrogram	1	7	4	0	8000	8046.37001739801
8024.16776308584	8782	8781	8784	2195.25	110	Spectrogram	1	2196.75	2193.75	0	8000	8024.16776308584
7884.96917745377	6328	6324	6330	1581.75	111	Spectrogram	1	1583.25	1580.25	0	8000	7884.96917745377
7877.7101958568	2327	2324	2331	581.5	112	Spectrogram	1	583	580	0	8000	7877.7101958568
7848.7410348873	5008	5006	5009	1251.75	113	Spectrogram	1	1253.25	1250.25	0	8000	7848.7410348873
7812.67934551605	1192	1191	1193	297.75	114	Spectrogram	1	299.25	296.25	0	8000	7812.67934551605
7783.94932626726	7084	7081	7085	1770.75	115	Spectrogram	1	1772.25	1769.25	0	8000	7783.94932626726
7776.78334455706	7375	7374	7377	1843.5	116	Spectrogram	1	1845	1842	0	8000	7776.78334455706
7755.32495758591	9110	9108	9111	2277.25	117	Spectrogram	1	2278.75	2275.75	0	8000	7755.32495758591
7684.22371100027	2663	2661	2664	665.5	118	Spectrogram	1	667	664	0	8000	7684.22371100027
7599.76214361037	2862	2861	2864	715.25	119	Spectrogram	1	716.75	713.75	0	8000	7599.76214361037
7592.76572646525	4020	4019	4021	1004.75	120	Spectrogram	1	1006.25	1003.25	0	8000	7592.76572646525
7557.88013680452	1304	1301	1308	325.75	121	Spectrogram	1	327.25	324.25	0	8000	7557.88013680452
7543.9708219799	449	445	450	112	122	Spectrogram	1	113.5	110.5	0	8000	7543.9708219799
7537.02576688426	8947	8944	8949	2236.5	123	Spectrogram	1	2238	2235	0	8000	7537.02576688426
7351.90692071567	2853	2851	2854	713	124	Spectrogram	1	714.5	711.5	0	8000	7351.90692071567
7217.71949668699	7606	7605	7608	1901.25	125	Spectrogram	1	1902.75	1899.75	0	8000	7217.71949668699
7151.54704659282	165	162	166	41	126	Spectrogram	1	42.5	39.5	0	8000	7151.54704659282
7105.58763369473	9081	9078	9082	2270	127	Spectrogram	1	2271.5	2268.5	0	8000	7105.58763369473
7105.58763369473	9812	9811	9814	2452.75	128	Spectrogram	1	2454.25	2451.25	0	8000	7105.58763369473
7059.92357893668	2017	2016	2019	504	129	Spectrogram	1	505.5	502.5	0	8000	7059.92357893668
7053.42414258097	469	468	471	117	130	Spectrogram	1	118.5	115.5	0	8000	7053.42414258097
7014.55298419971	222	221	223	55.25	131	Spectrogram	1	56.75	53.75	0	8000	7014.55298419971
6918.30970918936	2532	2529	2533	632.75	132	Spectrogram	1	634.25	631.25	0	8000	6918.30970918936
6873.84919590323	81	79	83	20	133	Spectrogram	1	21.5	18.5	0	8000	6873.84919590323
6848.57159125856	825	824	827	206	134	Spectrogram	1	207.5	204.5	0	8000	6848.57159125856
6829.67440807964	7953	7950	7955	1988	135	Spectrogram	1	1989.5	1986.5	0	8000	6829.67440807964
6804.55924994638	3239	3237	3241	809.5	136	Spectrogram	1	811	808	0	8000	6804.55924994638
6804.55924994638	7523	7520	7524	1880.5	137	Spectrogram	1	1882	1879	0	8000	6804.55924994638
6785.78350950407	8189	8185	8190	2047	138	Spectrogram	1	2048.5	2045.5	0	8000	6785.78350950407
6643.54681976006	7328	7326	7330	1831.75	139	Spectrogram	1	1833.25	1830.25	0	8000	6643.54681976006
6564.475019517	2265	2263	2269	566	140	Spectrogram	1	567.5	564.5	0	8000	6564.475019517
6510.28498434861	5289	5288	5290	1322	141	Spectrogram	1	1323.5	1320.5	0	8000	6510.28498434861
6480.37294192291	3170	3168	3171	792.25	142	Spectrogram	1	793.75	790.75	0	8000	6480.37294192291
6409.14356644776	4782	4781	4783	1195.25	143	Spectrogram	1	1196.75	1193.75	0	8000	6409.14356644776
6403.24324468947	4156	4155	4158	1038.75	144	Spectrogram	1	1040.25	1037.25	0	8000	6403.24324468947
6397.34835482648	2939	2937	2940	734.5	145	Spectrogram	1	736	733	0	8000	6397.34835482648
6391.45889185814	6063	6061	6064	1515.5	146	Spectrogram	1	1517	1514	0	8000	6391.45889185814
6327.03154866501	4526	4525	4527	1131.25	147	Spectrogram	1	1132.75	1129.75	0	8000	6327.03154866501
6263.25364758223	2919	2917	2921	729.5	148	Spectrogram	1	731	728	0	8000	6263.25364758223
6240.22142138977	4536	4535	4537	1133.75	149	Spectrogram	1	1135.25	1132.25	0	8000	6240.22142138977
6177.3185859152	2596	2594	2598	648.75	150	Spectrogram	1	650.25	647.25	0	8000	6177.3185859152
6137.62005164794	1547	1545	1548	386.5	151	Spectrogram	1	388	385	0	8000	6137.62005164794
6137.62005164794	3224	3222	3225	805.75	152	Spectrogram	1	807.25	804.25	0	8000	6137.62005164794
6126.32454443865	253	252	254	63	153	Spectrogram	1	64.5	61.5	0	8000	6126.32454443865
6120.6845887046	5353	5352	5354	1338	154	Spectrogram	1	1339.5	1336.5	0	8000	6120.6845887046
6075.75146105741	9290	9289	9291	2322.25	155	Spectrogram	1	2323.75	2320.75	0	8000	6075.75146105741
6008.96950483486	4935	4933	4937	1233.5	156	Spectrogram	1	1235	1232	0	8000	6008.96950483486
5986.8723724806	9344	9341	9348	2335.75	157	Spectrogram	1	2337.25	2334.25	0	8000	5986.8723724806
5888.43655355589	3077	3075	3078	769	158	Spectrogram	1	770.5	767.5	0	8000	5888.43655355589
5877.599636806	5380	5377	5382	1344.75	159	Spectrogram	1	1346.25	1343.25	0	8000	5877.599636806
5872.18865971303	3331	3328	3333	832.5	160	Spectrogram	1	834	831	0	8000	5872.18865971303
5855.98559849288	7101	7100	7103	1775	161	Spectrogram	1	1776.5	1773.5	0	8000	5855.98559849288
5733.23838653841	3442	3441	3444	860.25	162	Spectrogram	1	861.75	858.75	0	8000	5733.23838653841
5607.8966337451	1244	1243	1245	310.75	163	Spectrogram	1	312.25	309.25	0	8000	5607.8966337451
5435.00565129447	1617	1616	1619	404	164	Spectrogram	1	405.5	402.5	0	8000	5435.00565129447
5430.00213065738	4066	4065	4068	1016.25	165	Spectrogram	1	1017.75	1014.75	0	8000	5430.00213065738
5400.07759066593	47	46	49	11.5	166	Spectrogram	1	13	10	0	8000	5400.07759066593
5350.56938173137	2672	2671	2674	667.75	167	Spectrogram	1	669.25	666.25	0	8000	5350.56938173137
5267.44488331906	2837	2835	2838	709	168	Spectrogram	1	710.5	707.5	0	8000	5267.44488331906
4998.04313578239	7281	7279	7283	1820	169	Spectrogram	1	1821.5	1818.5	0	8000	4998.04313578239
4879.77727286486	9614	9613	9617	2403.25	170	Spectrogram	1	2404.75	2401.75	0	8000	4879.77727286486
4875.28490103387	2319	2318	2320	579.5	171	Spectrogram	1	581	578	0	8000	4875.28490103387
4852.88500162121	9791	9788	9792	2447.5	172	Spectrogram	1	2449	2446	0	8000	4852.88500162121
4835.03920591621	1557	1554	1559	389	173	Spectrogram	1	390.5	387.5	0	8000	4835.03920591621
4799.54424931945	5647	5645	5648	1411.5	174	Spectrogram	1	1413	1410	0	8000	4799.54424931945
4786.30092322638	2393	2392	2395	598	175	Spectrogram	1	599.5	596.5	0	8000	4786.30092322638
4759.9237966725	188	186	189	46.75	176	Spectrogram	1	48.25	45.25	0	8000	4759.9237966725
4600.44666393478	2273	2272	2274	568	177	Spectrogram	1	569.5	566.5	0	8000	4600.44666393478
4566.67389649532	2780	2776	2783	694.75	178	Spectrogram	1	696.25	693.25	0	8000	4566.67389649532
4554.07312683254	7970	7968	7971	1992.25	179	Spectrogram	1	1993.75	1990.75	0	8000	4554.07312683254
4504.01678168087	1565	1564	1568	391	180	Spectrogram	1	392.5	389.5	0	8000	4504.01678168087
4499.87033872151	7693	7691	7695	1923	181	Spectrogram	1	1924.5	1921.5	0	8000	4499.87033872151
4491.58890105932	1260	1259	1262	314.75	182	Spectrogram	1	316.25	313.25	0	8000	4491.58890105932
4475.07172047656	8222	8219	8223	2055.25	183	Spectrogram	1	2056.75	2053.75	0	8000	4475.07172047656
4309.23322818626	1976	1974	1978	493.75	184	Spectrogram	1	495.25	492.25	0	8000	4309.23322818626
4187.93565117918	3724	3723	3725	930.75	185	Spectrogram	1	932.25	929.25	0	8000	4187.93565117918
4184.08019567428	1011	1009	1012	252.5	186	Spectrogram	1	254	251	0	8000	4184.08019567428
4077.55661750212	9853	9851	9854	2463	187	Spectrogram	1	2464.5	2461.5	0	8000	4077.55661750212
4029.02535083295	2036	2033	2038	508.75	188	Spectrogram	1	510.25	507.25	0	8000	4029.02535083295
4017.9081084894	2093	2089	2095	523	189	Spectrogram	1	524.5	521.5	0	8000	4017.9081084894
3937.31353700851	8747	8745	8749	2186.5	190	Spectrogram	1	2188	2185	0	8000	3937.31353700851
3869.01131655109	917	916	919	229	191	Spectrogram	1	230.5	227.5	0	8000	3869.01131655109
3847.68933893788	208	207	211	51.75	192	Spectrogram	1	53.25	50.25	0	8000	3847.68933893788
3837.07245492279	7685	7684	7686	1921	193	Spectrogram	1	1922.5	1919.5	0	8000	3837.07245492279
3822.96216565919	7515	7513	7517	1878.5	194	Spectrogram	1	1880	1877	0	8000	3822.96216565919
3808.90376498135	7869	7866	7870	1967	195	Spectrogram	1	1968.5	1965.5	0	8000	3808.90376498135
3705.10056301924	9231	9229	9232	2307.5	196	Spectrogram	1	2309	2306	0	8000	3705.10056301924
3647.53946925608	3314	3313	3315	828.25	197	Spectrogram	1	829.75	826.75	0	8000	3647.53946925608
3624.09855899744	1217	1213	1219	304	198	Spectrogram	1	305.5	302.5	0	8000	3624.09855899744
3607.44733864192	5261	5260	5263	1315	199	Spectrogram	1	1316.5	1313.5	0	8000	3607.44733864192
3326.59553294004	4146	4145	4147	1036.25	200	Spectrogram	1	1037.75	1034.75	0	8000	3326.59553294004
2918.77084819714	2931	2929	2933	732.5	201	Spectrogram	1	734	731	0	8000	2918.77084819714
2916.08379852123	3501	3498	3503	875	202	Spectrogram	1	876.5	873.5	0	8000	2916.08379852123
2908.03748273531	156	155	157	38.75	203	Spectrogram	1	40.25	37.25	0	8000	2908.03748273531
2908.03748273531	9803	9801	9805	2450.5	204	Spectrogram	1	2452	2449	0	8000	2908.03748273531
2860.22369395428	3128	3127	3129	781.75	205	Spectrogram	1	783.25	780.25	0	8000	2860.22369395428
2764.39437122034	9206	9205	9207	2301.25	206	Spectrogram	1	2302.75	2299.75	0	8000	2764.39437122034
2746.62899241596	7746	7745	7748	1936.25	207	Spectrogram	1	1937.75	1934.75	0	8000	2746.62899241596
2721.44774645437	7347	7344	7348	1836.5	208	Spectrogram	1	1838	1835	0	8000	2721.44774645437
2686.5813772687	1349	1348	1350	337	209	Spectrogram	1	338.5	335.5	0	8000	2686.5813772687
2681.63706676073	9605	9603	9606	2401	210	Spectrogram	1	2402.5	2399.5	0	8000	2681.63706676073
2565.66529703487	6439	6438	6440	1609.5	211	Spectrogram	1	1611	1608	0	8000	2565.66529703487
2518.83662784174	4040	4037	4041	1009.75	212	Spectrogram	1	1011.25	1008.25	0	8000	2518.83662784174
